localidad,cluster,etiqueta_cluster
Antonio Nariño,1,Riesgo Alto
Barrios Unidos,1,Riesgo Alto
Bosa,1,Riesgo Alto
Chapinero,1,Riesgo Alto
Ciudad Bolivar,1,Riesgo Alto
Engativá,1,Riesgo Alto
Fontibón,1,Riesgo Alto
Fuera de Bogotá,1,Riesgo Alto
Kennedy,1,Riesgo Alto
La Candelaria,1,Riesgo Alto
Los Mártires,1,Riesgo Alto
Puente Aranda,1,Riesgo Alto
Rafael Uribe Uribe,1,Riesgo Alto
San Cristóbal,1,Riesgo Alto
Santa Fé,2,Riesgo Medio
Sin Dato,1,Riesgo Alto
Suba,1,Riesgo Alto
Sumapaz,0,Riesgo Bajo
Teusaquillo,1,Riesgo Alto
Tunjuelito,1,Riesgo Alto
Usaquén,1,Riesgo Alto
Usme,1,Riesgo Alto
