año,genero,matricula
2010,Femenino,747188
2010,Masculino,763150
2011,Femenino,740749
2011,Masculino,762370
2012,Femenino,703241
2012,Masculino,717357
2013,Femenino,691451
2013,Masculino,706151
2014,Femenino,659828
2014,Masculino,673175
2015,Femenino,672986
2015,Masculino,691286
2016,Femenino,664235
2016,Masculino,680160
2017,Femenino,656529
2017,Masculino,677548
2019,Femenino,645680
2019,Masculino,666536
2020,Femenino,641942
2020,Masculino,664782
2021,Femenino,622866
2021,Masculino,640974
2022,Femenino,609198
2022,Masculino,628101
2023,Femenino,598057
2023,Masculino,616671
2024,Femenino,578595
2024,Masculino,596473
