año,sector,matricula
2010,NO_OFICIAL,639042
2010,OFICIAL,871296
2011,NO_OFICIAL,640608
2011,OFICIAL,862511
2012,NO_OFICIAL,602435
2012,OFICIAL,818163
2013,NO_OFICIAL,592423
2013,OFICIAL,805179
2014,NO_OFICIAL,551399
2014,OFICIAL,781604
2015,NO_OFICIAL,560742
2015,OFICIAL,803530
2016,NO_OFICIAL,549930
2016,OFICIAL,794465
2017,NO_OFICIAL,553190
2017,OFICIAL,780887
2019,NO_OFICIAL,524328
2019,OFICIAL,787888
2020,NO_OFICIAL,508754
2020,OFICIAL,797970
2021,NO_OFICIAL,458415
2021,OFICIAL,805425
2022,NO_OFICIAL,461443
2022,OFICIAL,775856
2023,NO_OFICIAL,453077
2023,OFICIAL,761651
2024,NO_OFICIAL,431138
2024,OFICIAL,743930
